Name,16_Avenue_Tiled_Steps,California_Academy_of_Sciences,Alcatraz_Island,Cable_Cars,Exploratorium,or5-Golden_Gate_Bridge,Golden_Gate_Park,Lands_End,Oracle_Park,Palace_of_Fine_Arts_Theatre,Twin_Peaks,Walt_Disney_Family_Museum,Ferry_Building_Marketplace,Lombard_Street,San_Francisco_Museum_of_Modern_Art_SFMOMA,Coit_Tower,Legion_of_Honor,San_Francisco_Bay,Pier_39,or1395-Museum_of_Ice_Cream,San_Francisco_Botanical_Garden,De_Young_Museum,Cable_Car_Museum,Presidio_of_San_Francisco,Baker_Beach,Angel_Island_State_Park,Mission_Dolores_Park,Fisherman_s_Wharf,Japanese_Tea_Garden,Ghirardelli_Square,Chinatown,Union_Square,Painted_Ladies,Haight_Ashbury
klj913,50,,,,,,,50,,,,,50,40,,,,,50,,,,,,,,,,,,,,,
827maryannb,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
misopiso88,50,,,50,,,40,50,,50,,,40,40,50,50,,,40,,50,,50,50,40,,,,50,,50,40,50,50
dek5870,50,,,50,,,,,,,,,,50,,,,,,20,,,,,,,,,,,,,,
NYtraveler543,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Irishdudeguy88,50,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
flounderm,40,,,,40,,,,,40,,,,,,30,40,,,,30,30,30,30,,,,,,,,,,
383hallieh,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mami48,50,,,,,,,,,,,,,,,50,,,,,,,40,,,,,,30,,,,,
JasmineO254,40,,,,,,,,50,,,,,40,,,,,,,,,,,,,,,,,,,,
happy4travel,50,50,,,,,50,50,,,,,,50,50,40,,,,,,,,40,,,40,,,,,40,,
HolisticGoddess,50,,,50,,,,,,,,,,50,,50,,,,,,,,,,,,,50,,,,,
KatMooneyPhoto,50,,,,,,50,50,,,,,,40,,,,,,,,,,,,,,10,40,,,,,
trish-doug,50,,,50,,,,,,,,,,50,,,,,50,,,,,,,,,50,,50,,,50,
leonoras933,50,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
jontonyc,40,,,,,,,,,,,,,,,50,,,,,,,40,,,,,,,,,,40,
planterjeni,50,,,50,,,50,,,,,,,50,,,,,30,,,,,,,,,30,,,40,,,
DanielO945,40,,,,,,,,,,,,,40,,40,,,40,,,,,,,,,,,,,,,
permia,50,50,,,,,50,,,,,,50,50,50,50,50,,,,,50,50,50,,,50,50,,50,50,40,40,50
believeangls,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918svetlanag,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tkhuts,50,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
GypsyGeorgia,40,,,,,,,,,,40,,40,40,,,,,,,,,,,,,,40,,,,,,
744Dmack744,40,,,,,,,,,,,,,40,,,,,,,,,,,,,,40,50,,,,,
artgurl33,40,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,40,,,
jennifergQ418YI,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MinkyungS,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cheryltzq,20,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
DavidR635,40,,,,,,40,,40,,,,,40,,,,,,,,,50,,40,,,40,,,,,,
L7645FVelizabethl,40,,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,
jishenker,50,,,,,,50,,50,,,,40,50,,50,,50,,,,,,50,,,,,,,,,,
emilytO6138AN,40,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,40,
EllenB999,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
monrabdog,30,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,30,,,
433lindat,50,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,
Im_no_Crazy_Canadian,50,,,,,,50,,,,,,,50,,,,,,,,,50,,,,,50,,,,,,
weloveRtrips,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
louellac699,40,,,,,,,,,,,,40,40,,,,,40,,,,,,,,,,,,,,,
3karnar,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651janicef,50,,,,,,,50,,,,,,,50,,,,,,,,,,,,,,,,,,,
lpincher94,50,,,,,,40,50,,,,,,,,,,,,,,,,,50,,,,,,,,,
gregtD2257DU,30,,,,,,,,,,,,,,30,,,30,,,,,,,,,,,,,,,,
Chin711,50,50,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
H9005OCmichellej,40,40,,,,,40,50,,40,40,,,,30,,20,,,,,,,,,,,,,,,,,
LauraS_31383,30,,,,,,,,,,40,,,,,,,,,,,,,,,,30,,,,,,,
natem114,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Worldtosee2018,50,,,,,,50,,,,,,,,,50,,,,,,,,,,,,,40,50,,,10,
shonas804,50,,,,,,,,,,,,,,,50,,,,,,,50,,,,,,,,,,,
181ceciled,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,
boomcaruso,50,,,,50,,,,,,,,50,,,,,,,,,50,,,50,,50,,,,,,,
KGod76,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smallbone2014,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2747VXlindah,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nk2008060,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TruBritinUSA,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122priscilac,50,,,,,,50,,,,,50,,,,,,,,,,,,,,,,,,,,,,
paulawJ864NS,50,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
PHatcher67,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P2152VWmichelf,50,,,,,,50,,,,,,,,,,,,,,,,,,50,,50,,,,,,,
R5259XVjohnm,50,,,,,,,,,,50,,40,,,,,,,,,,,,,,,,,50,,,,
Catharina29,50,,,,,,50,,,,,50,,,,,,,,,,,,,,,,,,,,,,
matthewdR7573OH,30,,,,,,,,,,,50,,,,,,,,,,,40,,,,,,,,50,,,
TravelsbyTonia,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danadane1,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
emmajexplores,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
habualtin,50,,,,,,50,,,,,,,,,,,,,,,,,,,,50,,,,,,30,
KBadventureandtravel,40,,,,,,,,,,,,50,,,,,,,,50,,,,,,,,,,,,,
glennharrold,40,,,,,,50,,,,50,,,,,,,,,,,,,,,,,,,,40,,,
378fionas,40,50,,,40,,50,,50,,40,,,,50,,,,,,,,,,,50,,,,,,,,
Travel_Addict_Cyprus,50,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,50,,,
samkQ6453MD,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110alisonb,40,30,,,50,,,,,,,,50,,,,,,,,,,,,,,50,,,,,,,
307MartyD,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
francescaitaly2018,50,,,,,,,,,40,,,,,,,,,,,,,,,,,,,40,,,,,
chicago90Phoenix,40,,,,,,,,,40,,,,,50,50,50,,,,,40,,,,,,,,,,,,
Margscott,50,50,,,,,50,,,,,,50,,50,,,50,,,,,50,50,,,,,,,,,,
Arleen3,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecalquhoun,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RjessMMM,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,40,,,40,
NextPlanetTravel,50,,,,,,,,,50,,,,,,,50,,,,,,,50,,50,,,,,,,,
stephaniesV7923YR,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexa8776,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlabqtpie,50,,,,,,,,50,,50,,50,,,,,,,,,,,50,,,50,,,,,,,50
949sharonl,50,,,,,,50,50,,,,50,40,,50,40,50,,,,,50,,50,,,,,30,,50,,,
christinepJ1055HO,50,,,,,,,,,,30,,,,,,,,,,40,,50,,,,,,,,30,,,
mcseven,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thedaywetravel,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMA47,50,,,,,,,,,,50,,,,,,,,,,,,,50,,,,,,,,,,
EdiBa683,50,,,,,,50,,,,,,40,,,,,,,,,,50,,,,,,,,,,,40
dhuckobey,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMSEACOAST,40,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,
noushinshahintabe,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ToiniL,50,,,,,,,50,,50,50,,,,50,50,50,50,,,50,50,50,50,50,40,,,40,50,,,50,30
judis645,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
idatarbell2015,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kbpinkerton,50,,,,50,,50,,50,,,,,,,,,,,,,,,,,,,,50,,50,,,
dnhampton,50,,,,,,,50,,,50,,,,,,,,,,,50,,,,,,,,,,,,
gdcouffer,50,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,
sudeshrele,40,50,,,,,50,,50,,50,50,50,,,,50,50,,,50,,50,,,,,,50,50,,,,
margaretan116,50,,,,,,50,,,,,40,,,,50,,,,,,,,,,,40,,,50,,,,
karencV4785NQ,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
bengtarnes_13,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IllinoisMrsZ,50,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,
liufeng1739,40,,,,,,,40,,,,,,,50,40,40,,,,,40,50,40,,,,,40,,30,,,
einatts,40,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
JaqbM,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFC1130,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,
sunnyskies99,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kellye896,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magical630,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,
deathbyblackcat,40,,,,,,40,,50,,,,,,,,,,,,,,,,,,,,,,40,,,
Charlesquil,20,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,
TYPSUKR,40,,,,,,40,,,40,,,40,,,,,,,,,,50,,,,,,40,,40,,,
533iral,40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
821ginav,50,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
H3543HCclaudiak,40,,,,,,40,,,,,,40,,,40,,,,,,,,,,,50,,,,,,,
MominMaryland08,40,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
paxtontravel12910,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leo88copper,50,,,,,,50,,,50,50,,,,,,50,,,,,,,40,,50,,,,,,,,
632frankn,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bigjuicer,50,,,,,,,,,,50,50,50,,,50,,,,,50,,,,,,,,,,,,,
Jean97420,50,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
721kaylag,30,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,
329connier,40,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,50,,,,
laurenm119,50,,,,,,,,,,,,30,,,50,,,,,,50,,,,,,,,,,,,
LudhianaGreat9,50,,,,,,30,,,40,40,,,,,,,,,,40,,,,,,,,,,,,,
elaineg151,40,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,,
245charlottes,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel_dinzi,50,,,,,,,,,,,,,,40,,,,,,,,,,,,50,,50,,,,,
pauldC8047ZS,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ct782,40,40,,,,,50,,,,40,,,,,50,,,,,,,,,,,,,,,,,,
SamN309,40,,,,,,50,,,50,,,,,,,,,,,,,,,,,,,,,40,,50,
1969usmc1988,40,,,,,,30,40,,,,,,,,,,,,,,,,30,,,,,,,,,,
335williamm,50,,,,,,50,50,,50,50,50,50,,,50,,50,,,,,50,,,,50,,40,,,40,40,
0tammyc,50,50,,,50,,,50,,50,,50,40,,,,,,,,,,,,50,,,,50,40,,,,
Doubletcarol,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,
freshnediev,40,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,40,,,,
Nana_1153,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWgirly,50,,,,,,,,,,,,20,,,,,,,,30,50,,,,,,,,,,,,
LoidaB1,50,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,
ynot84,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sbidwell,40,,,,,,,50,,,,,,,,,,,,,,,,50,,,,,,,,,,
V4413LEamandag,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SharonL888,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,
PaulaGalvin,40,50,,,50,,50,,,,,,,,50,50,,,,,50,50,,,,,,,,,,,,40
m3grossman,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mikehunter16,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blouie888,50,50,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,,,,
38sil,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
841geneg,40,,,,,,,50,,,,,,,,,40,,,,,,,40,40,,,,,40,,,,30
AnitaMW,50,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,,,,
320cathyg,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348emilyl,50,,,,,,,,,,,,,,,50,,,,,50,,50,,,,,,,40,40,,,
rjetbe,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TravelerXYZ2015,50,50,,,,,50,,,,,,,,,50,,50,,,,50,,,,,,,50,,,,,
Professorhosokawa,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
jcv179,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SarahsBackstage,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV2451,50,,,,,,50,40,40,,50,,50,40,40,50,50,50,30,,50,30,,40,40,,50,30,50,30,50,,50,50
ChelseaShieldsBurns,50,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,
TravelGoddess71,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sallygutierrez,50,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,50,,,,50
650viviant,40,,,,40,,,40,40,,,,,,40,,,,,,,,,,,,40,,,40,40,,,
CristinaG1086,50,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
NelsonPirolo,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800janac,50,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,
SuperTed19,50,,,,40,,50,40,,40,,,,,,,,,,,50,50,50,,,,,,50,,,,,
anonymousA9743DZ,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
amandamM1748FG,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
julesysu,50,,,,,,,,,50,,,,,,,,,,,,,,,50,,,,,,,,,
55Mickey,50,50,,,50,,50,50,,50,50,50,,,50,50,50,50,,,50,50,50,50,50,50,50,,50,50,,,50,50
Pinkie2014,50,,,,,,,,50,,,,,,,,,,,,,,,,,,50,,,,,,,
WayneN795,50,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,50,,,
Travel_Bug81,50,,,,,,,,,50,,,,,,,,40,,,,,,,,,,,,40,40,,40,
HelenG196,50,,,,,,,,,,,,,,,,,40,,,,,,,,,,,40,,,,,
baysidenumber5,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ramanuj_v,30,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
lou_famof6,30,,,,,,,,,,,,,,,,,,,,,,,30,,,,,40,40,,,30,30
RJourn,50,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
magdakrupa74,40,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
RH53ARH,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kthxbb,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762stephaniee,40,,,,,,,,,,,,,,,,,50,,,,,,,50,,,,,,,,,
578pattin,50,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
nixta86,40,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,30,
LM587,30,,,,,,,,,40,,40,,,,40,,,,,,,,50,,,,,40,30,30,,20,20
jackiegc725,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
Khaton13,50,,,,,,,,,,,,,,40,,40,,,,30,40,,,,,,,,,40,,,
52pamw,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ttmt2,40,,,40,,,,,,40,50,,,40,,40,,50,,,,,,,,,,,,30,,40,50,
430jos_p,40,,,,,,,,,,,50,,,50,,,,,,,50,,,30,,50,,,,,,50,
CAKS8462,40,,,,,,,,,,,,,,,40,,,,,,,,,,,,,40,50,50,,,
jammyjameela,50,,,,40,,,,,40,,,,,,30,,,,,,,,,,,30,,,,,,,
tbkberg,50,,,,,,,,,,,,,,50,,,,,,,40,,,,,,,,,,,,
lynne0ne,40,,,,,,,50,,,,,,,,50,,,,,,,,,,,,,,,,,,
bengZ5533ST,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
just1backpack,50,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
Pauline_from_Port,40,,,,,,,,,,,,,,,,,,,,,,50,,,,,,50,,,,,
rebekahm510,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wendyg96,40,,,,,,50,,,,,,30,,50,,40,,,,,50,,,,,,,,,50,,,
227joshl,50,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
DRod83,50,,,,,,,50,,50,,,,,,,,,,,,,,,,,50,,,,,,,
joanadventure,50,,,,40,,,,,50,50,,,,,,,40,,,30,,,40,,,,,,50,,,,30
shenyielainel,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roshanw864,40,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,
FBKalra,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterflyturtles,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JaymeyJ,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
schota1,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kristink75,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beckyinaz,40,,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,
bethp938,50,,,,50,,,,,,40,,,,,,50,,,,,50,,,50,50,50,,,,,,,
kiwidivil,40,,,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,
FaithGalati,40,,,,,,,,,50,,,,,,,40,,,,,,50,,,,,,,,,,,40
907andrewcharless,50,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66ronw,40,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,
j0pamby,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574leahl,40,30,,,40,,,40,,40,40,,,,30,30,30,,,,50,50,,,,,40,,40,,,,30,
Sinalcohol,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
travelwithpam,40,,,,50,,,50,,50,,,,,40,50,,,,,,50,40,50,,,40,,40,,,,,40
lynnes537,50,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
RamKunda,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557janisy,40,,,,,,,,30,,,30,30,,50,40,,,,,40,,,,,,,,40,,,,,
cingyee5,50,,,,50,,,,50,,50,,,,,,,,,,,,,,,,,,,,,,,
BevP6060,40,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
wendysS2750OB,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cvp_7,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102audreyc,50,,,,,,,50,,,,,,,,,50,,,,,50,,50,50,,,,,,,,,
reelmaster,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04SVTBabe,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,
christinah536,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ocfamily92886,50,,,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,
Sclour,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vwlangley,40,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,
Chrispreyes0511,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kathies297,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariebeukenoot,40,,,,,,,,,,,,,,,,40,,,,,,,40,,,,,,,,,,
RakeahC,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,40,40
deonnam414,50,,,,,,,,,40,,,,,,40,,50,,,,,50,,,,,,40,30,,,,40
tattersall_12,50,,,,,,,50,,,,,,,,30,,,,,,,,,,,,,,,,,,
Scott_SF_CA,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baba260,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
goangurl,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sandra98walter,50,,,,,,,40,,40,50,,,,,,,,,,,,,,50,,,,,50,,40,,
Tloc1986,50,,,,,,,50,,50,,,,,,50,,50,,,,,40,,,,,,50,40,,,,
